grade,user_name,text,date
0,Lazariel,"Only ONE island per console!You can't create a different island per user/account.Once you have created an island on your console, all users have to share it.Good luck if you have two or more kids...Nintendo got away with forcing us to buy one game per user for years and years with Pokemon and Animal Crossing, and now they want us to buy one CONSOLE per user. They had theOnly ONE island per console!You can't create a different island per user/account.Once you have created an island on your console, all users have to share it.Good luck if you have two or more kids...Nintendo got away with forcing us to buy one game per user for years and years with Pokemon and Animal Crossing, and now they want us to buy one CONSOLE per user. They had the excuse of lack of memory space with cartridges, but with the Switch, there is literally NO GOOD REASON to do that but CORPORATE GREED.That kind of practice shouldn't be allowed.Seriously, shame on you Nintendo!… Expand",3/20/20
0,novaaaa,You can only create one island per switch and anyone else that joins the island literally cannot progress until the person who created it does. Greedy Nintendo at it again.,3/20/20
0,sooners11,One island per console is a pretty terrible and greedy design choice by Nintendo. Whoever is first on the island gets the full game experience and everyone else is gimped and cannot progress or do the same things.,3/20/20
0,noonecarestho,Why add local co op if you can only do one island and not have an option to split screen?,3/20/20
0,necai,"Forcing there to only be 1 island per account completely ruins multiplayer for any family or residents that share a switch. The only way to enjoy this with your family is purchasing multiple switches, and that's completely ridiculous. There's no reason not to have the option of starting a new Island. Just shady business. The game is fun, unfortunately, not everyone who lives on the islandForcing there to only be 1 island per account completely ruins multiplayer for any family or residents that share a switch. The only way to enjoy this with your family is purchasing multiple switches, and that's completely ridiculous. There's no reason not to have the option of starting a new Island. Just shady business. The game is fun, unfortunately, not everyone who lives on the island will get to experience that.… Expand",3/20/20
0,Brittlehollow,"If more than one person plays on a Switch, even with seperate profiles you are forced to share not only the island but all the resources as well.  Anyone playing on a file after the first person to create a file is extremely limited as well.  It is an absolute nightmare to play with more than one person.",3/20/20
0,Pigeondirt,It's absolutely ridiculous that the 5 members of my family that all share a switch have to only have one island. And on top of that the first person is the boss. You have really let me down Nintendo and hope you get this fixed. Also how is there no cloud save??? Welcome to 2020,3/20/20
0,dlguiga42,"One island per console ruined the game for me. After my girlfriend set up the island, I realized I'm basically a guest in her island for pretty much anything now. It's not even proper sharing - she's the owner and I'm her guest in the Island.I'll just let her play the game on her own and I'll play something else instead.",3/20/20
1,favouritecommi,"Alright, so first things first the game itself is alright, HOWEVER, if you have more than one person in your household only the FOUNDER will be able to enjoy it as supposed to. Not only you can not have multiple islands (not even sure how to react on that in 2020), but also the first player gets all proper interactions, quests etc. If you share a console other players will be limited toAlright, so first things first the game itself is alright, HOWEVER, if you have more than one person in your household only the FOUNDER will be able to enjoy it as supposed to. Not only you can not have multiple islands (not even sure how to react on that in 2020), but also the first player gets all proper interactions, quests etc. If you share a console other players will be limited to the progress of player 1.But what's worse is a local coop, the second player is basically a slave of the main one without inventory and even being able to proper pick-up stuff (so you have to jump around the main player for usual exchange). Not to mention the second player animation every time it picks sth up from the ground (like hey I found this) especially annoying when you have those quests like collect 200 sth. Also, the second player is unable to do anything while the first one is in the inventory menu.Also, small things like not being able to rotate the camera or change the location of the tent are annoying.IDK to it seems like Nintendo tried to make ppl buy more consols or sth. Disappointed.… Expand",3/20/20
0,ProtectGalar,"As a fan of the saga this game is disappointing, Animal Crossing has to evolve and in this title I felt the same as always, the formula is very stagnant.Is like a 3DS upscaled game, not a real Switch title.",3/20/20
0,SothisFeet,"This is the first Animal Crossing title that I have played, and although I'm not a fan and I'm not familiar with the practices and mechanics that are expected from games like this.My opinion even if you don't agree, is that it seemed to me an extremely disappointing experience.The objectives of the game are not clear, there are multiple tasks but none lead to a greater objective orThis is the first Animal Crossing title that I have played, and although I'm not a fan and I'm not familiar with the practices and mechanics that are expected from games like this.My opinion even if you don't agree, is that it seemed to me an extremely disappointing experience.The objectives of the game are not clear, there are multiple tasks but none lead to a greater objective or at least I did not see any interesting narrative that was spun in the background, it's sad and embarrassing that having superior hardware such as the Nintendo Switch the developer has opted for that annoying world in perspective of roller and they would not make the jump to the more open world as other sagas have done.There is still no voice acting and the characters keep talking with annoying sounds when this was once a technical limitation and now it's not, and the farming system seems to me sincerely the worst thing I have ever experienced, very boring and meaningless.That is not to mention the awful decision to make that there can only be one island per Switch. Is't serious?, this isn't a 3DS game, what annoyance you are forced to buy another system so that your family can play, in that aspect it seems to me a total scam.Game absurdly overrated like almost all other Nintendo exclusives, is the only thing I have to say.… Expand",3/20/20
0,iamlegionWEARE1,"The game is broken bugged right out the get go. I started a game,progressed my Island, etc. Later in the day, my wife gets on the family console to play, and is totally confused. The game only allows one person to play it on a console, the other profiles can only get a severely stripped down version of your island. No way to have their own profile. Some fanboys claim this was on purpose,The game is broken bugged right out the get go. I started a game,progressed my Island, etc. Later in the day, my wife gets on the family console to play, and is totally confused. The game only allows one person to play it on a console, the other profiles can only get a severely stripped down version of your island. No way to have their own profile. Some fanboys claim this was on purpose, but I cant imagine Nintendo would make this big of a mistake on purpose. Once this huge bug gets fixed, I'm happy to reevaluate the score, but this is a solid 0/10 for blocking other players from playing beyond the first to start a game on the console.… Expand",3/20/20
4,Phantafun,"A good game, for sure, but only 1 Island. With this limitation, to keep the interest longer, only my wife play.Half the payer, half the rating. I Hope a change soon",3/20/20
1,FunkyVerb,Same-console multiplayer is severely limited. The game was designed so that only one person per family can actually get the full experience. Do NOT buy this game if you want to play with multiple people.,3/20/20
10,000PLAYER000,Cant stop playing!,3/20/20
7,Drud,"Im Currently 18 hours in, with over 2 months worth of time skips. Game seems worse than its predecessors, Overall its a fun experience, but its limited in ways that i can only believe are to allow more copies to be sold before people can see the lack of content. Im on my 4th house expansion with a town of 6, shop upgraded. And it seems like im at the end of the museum collection. TheIm Currently 18 hours in, with over 2 months worth of time skips. Game seems worse than its predecessors, Overall its a fun experience, but its limited in ways that i can only believe are to allow more copies to be sold before people can see the lack of content. Im on my 4th house expansion with a town of 6, shop upgraded. And it seems like im at the end of the museum collection. The little things that made the previous games feel special are missing, while new mechanics are in place to create a facade of advancement. Tons of things are missing from previous games that have become staples. Removal of the stat system for catches also removes half of the excitement of catching the same stuff over and over since you cant get a New best because size simply no longer exists. Controls could have been improved alot for this game, There are no touch functions despite having alot of use in many areas, such as home design and patterns or basic inventory management. Information is sparse. The game expects you to understand what your doing and why your doing it with zero direction for majority of the game. Honestly if this was any other game it would score much lower and i haven't even gotten into the multiplayer aspect both locally and online.… Expand",3/20/20
2,Audeclis,"It's immensely disappointing to purchase the game and learn that there is very little value for a family. Whereas I can share my other games with my children, the fact that only one of us can make true progress in the game is a letdown and just another example of Nintendo being completely tone deaf and out of touch.Beyond this, though, the fact that few reviewers discuss this fact isIt's immensely disappointing to purchase the game and learn that there is very little value for a family. Whereas I can share my other games with my children, the fact that only one of us can make true progress in the game is a letdown and just another example of Nintendo being completely tone deaf and out of touch.Beyond this, though, the fact that few reviewers discuss this fact is abhorrent. The game simply does not deserve the praise it is receiving from the media in the face of such a glaring misstep, highlighting their own massive blind spots.At this point, while an okay but slow game, in the face of its price and the limitations its value drops far below far more mediocre games that are at least enjoyable more broadly.… Expand",3/20/20
0,simondobie23,"my girls were so excited to get this game. I read nothing about because it doesn't interest me. Once they started playing it they realised that there was only one island per switch, and my god, do they hate that!!! My girls are years apart and what appeals to one doesnt appeal to the other.This limitation feels arbitrary and ill thought out.I hope a patch fixes this",3/20/20
0,ElaineB,"In the same way that detractors tried to defame and destroy Pokémon 4 months ago with empty criteria, hypocrisy and personal caprices in an unfair way, the same thing I do with this game.To be a Switch title I don't think it has taken the leap in quality that we all expected, graphically it's limited, for some reason the geography of the world remains cylindrical and there is no freeIn the same way that detractors tried to defame and destroy Pokémon 4 months ago with empty criteria, hypocrisy and personal caprices in an unfair way, the same thing I do with this game.To be a Switch title I don't think it has taken the leap in quality that we all expected, graphically it's limited, for some reason the geography of the world remains cylindrical and there is no free camera in the overworld, when this was previously justifiable for technical reasons, on Switch it doesn't make sense that the game looks so simple.Animal Crossing continues to have the same formula of 18 years ago, its last iteration only adds superficial changes but it is still the same, where's the evolution?.Some mechanics have been replaced by others and that bothers me, and the progression system is quite clunky and poorly designed.This should be the Breath of the Wild of Animal Crossing, but the map is still as limited as it has always been, the ideal Animal Crossing should be an open word but in that we have been disappointed.There is almost no real graphic evolution and it looks like a 3DS game in HD, which is pathetic and wasted.They had the opportunity to give a 180 degree turn to the Animal Crossing formula and they stayed in their comfort zone, very lazy in my opinion.And let's not even talk about the horrendous decision that it is only an island per console, not per session, PER CONSOLE.Omg, even Pokemon that receive so much hate it deigned to break its stigma and let a cartridge can have multiple savedatas on the same Switch. very greedy decision by Nintendo.Disappointing game that doesn't meet the high expectations we had of an Animal Crossing for console.Traducción:De la misma manera como los detractores intentaron difamar y destruir Pokémon hace 4 meses con criterios vacíos, hipocresía y caprichos personales de manera injusta, lo mismo haré con este juego.Para ser un título de Switch no creo que haya dado el salto de calidad que todos esperábamos, gráficamente se ve limitado, por alguna razón la geografía del mundo sigue siendo cilíndrica y no existe cámara libre en el overworld, cuando esto antes era justificable por cuestiones técnicas, en Switch no tiene sentido que el juego se vea tan simple.Animal Crossing sigue teniendo la misma fórmula de hace 18 años, su última iteración solo agrega cambios superficiales pero sigue siendo lo mismo, lo cual aburre.Algunas mecánicas se han reemplazado por otras y eso me molesta, y el sistema de progresión es bastante torpe y mal diseñado.Este debería ser el Breath of the Wild de Animal Crossing pero el mapa sigue siendo igual de limitado como siempre lo ha sido, el Animal Crossing ideal debería ser un open word pero en eso nos han decepcionado.Casi no hay verdadera evolución gráfica y se ve como un juego de 3DS en HD, lo cual es patético y desaprovechado.Tenían la oportunidad de darle una vuelta de 180 grados a la fórmula de Animal Crossing y se quedaron en su zona de confort, bastante perezoso en mi opinión.Y ya ni hablemos de la pesima decision de que solo es una isla por consola, que no por sesion, POR CONSOLA.Es que por dios, incluso Pokémon que tanto lo odian se digno a romper su estigma y dejar que un cartucho puede tener múltiples partidas en una misma Switch. decisión muy avara por parte de Nintendo.Juego decepcionante que no cumple con las grandes expectativas que teníamos de un Animal Crossing para consola.… Expand",3/20/20
6,mercurysmessage,An awesome Animal Crossing Experience. Being able to build out your island the way you like is an awesome feature. It's almost like having a crossover episode between Minecraft and Animal Crossing.The only negative is the one Island per console. If we could have even one per User I would have given this game a higher score.,3/20/20
9,AlexKidd,"As a first timer to the animal crossing series, it was a bit hard to get into at first, but i really enjoy it now. The music, the graphics, the vibe, it's all so relaxing. The only downside i can think of now is the crazy amount of dialogue you can't skip. Great game! Can't wait to play in other seasons!",3/20/20
8,ThornBattleborn,"Would be a perfect 10 if it weren't for the unnecessarily clunky couch co-op (especially considering how well the first animal crossing implemented it) you have a primary player who can play the game as normal and a secondary player who can... Sit there and look pretty? They can pick up items, albeit slowly with an annoying animation playing each time and items are sent to the recycle binWould be a perfect 10 if it weren't for the unnecessarily clunky couch co-op (especially considering how well the first animal crossing implemented it) you have a primary player who can play the game as normal and a secondary player who can... Sit there and look pretty? They can pick up items, albeit slowly with an annoying animation playing each time and items are sent to the recycle bin instead of your inventory. You can fish and catch bugs, but only as long as they're on the same screen as the primary player (they are often much more spread out so there is only one at a time on the screen)The only saving grace is the fact that you can switch who the primary is by simply shaking the controllers. Otherwise this installment of animal crossing is vastly improved from the previous games, with better visuals, customisation and more quality of life improvements than i can count. In older animal crossing games i only found a couple hours of things to do per day, in New horizons there seems to be a plethora of activities to take part in with new activities opening up the more i play. The new ability to Terraform the landscape and really shape the island to my liking is a more than welcome addition and makes me feel like I'm really starting a little town of my very own! If you are playing on your own, you won't be able to find a better animal crossing experience! If you are buying this to play with a friend, however, just keep the limitations of couch co-op in mind before you buy. Nintendo should have been more transparent about this clunky co-op pre-launch but i know exactly why they weren't (and Tom Nook would have done the same thing)… Expand",3/20/20
8,Skideye,"It's a very slow start (a few real-time days), but once you get past that barrier.....the world opens up massively. It's a peaceful game to hop into whenever you feel like it, and rewards those that play long hours, or even 1 or 2 at a time. Highly recommended to those looking for an escape (and if you truly want to customize your character, get the pro editor in the nook miles store",3/20/20
10,GooMatt,This is my first animal crossing game I’ve ever played. I am seriously addicted to this game I cannot stop playing. Maybe the best Nintendo game yet,3/20/20
10,Aladis,I like it so far. Unfair to rate the game a 0 because of a poor design choice on co op.,3/20/20
10,sknight1213,This game is absolutely amazing as a constant side game for one's day. It a great game to relax with.,3/20/20
10,Fliff,"Probably the best Animal Crossing has ever been, and to fans of the series it does enough to update the core gameplay loop to keep it fresh and interesting.The negative reviews all seem to be people who have never played Animal Crossing before. The one island setup is intentional and has been a thing forever.",3/20/20
10,dr_heartless,An amazing game and the best AC yet! If you don’t understand there is only one town per system sorry you don’t get AC.,3/20/20
10,shadowmancer66,"An absolutely awesome addition to the franchise. Everything about this game has been tailor made for longtime fans of the series. There's a ridiculous amount of quality of life upgrades to the game, any fan of the series will adore the game!",3/20/20
10,CelesteH,"This review contains spoilers, click expand to view.                                                                                            I’ve been a fan since the original GameCube version and this reminded me of why I loved Animal Crossing so much. It was so much fun to build up my own island from scratch, have everything exactly where I want and I feel like there’s endless things for me to do. It had me wanting to explore and try everything and it was so visually beautiful to look at. I can see being lost in this for the next long while. Zero regrets purchasing and blew my expectations out of the water!… Expand",3/20/20
9,Tma0405,"There are no words to describe the flawlessly, gorgeous graphics and detail that have gone into creating this game. As an Animal Crossing fan that has played every game since gamecube, I am utterly amazed at how far the series has come. Does it have a little bit different feel? Yes but that doesn't make it any less enjoyable than any of the other games I've played in the series. I haveThere are no words to describe the flawlessly, gorgeous graphics and detail that have gone into creating this game. As an Animal Crossing fan that has played every game since gamecube, I am utterly amazed at how far the series has come. Does it have a little bit different feel? Yes but that doesn't make it any less enjoyable than any of the other games I've played in the series. I have read all other people's reviews and the people giving it a bad review either new absolutely nothing about the series or did absolutely zero research before purchasing the game. I would give this game a solid 10/10 but I have to give it a 9 just because the game seems to start out more slowly than any of the others in the series and parts of the game feel a little more like work and more tedious than previous games. I would have liked the game to have started out with at least 3 villagers instead of 2 but all these things are very little complaints. Overall, the game is great and I look forward to playing it every day for the next several years to come!… Expand",3/20/20
9,septimal,"I absolutely love this game; however, both me and my brother would like to have our own islands but this is not possible without the purchase of another switch. This is extremely disappointing as Nintendo intentionally did this; they could have just done the save files similar to games like BOTW or SMO, but they didn't. So, despite this being one of my favorite games this year; I feelI absolutely love this game; however, both me and my brother would like to have our own islands but this is not possible without the purchase of another switch. This is extremely disappointing as Nintendo intentionally did this; they could have just done the save files similar to games like BOTW or SMO, but they didn't. So, despite this being one of my favorite games this year; I feel Nintendo made a poor decision in forcing players to buy multiple switches to have multiple islands.… Expand",3/20/20
10,manute12,Best AC game ever. It combines all i´ve loved of previous games and added new features that makes this game so much enjoyable.,3/20/20
9,Scarbelly,This is easily without a doubt the best game in the series! It adds so many small features and the music is super chill.,3/20/20
10,LucianoBR,Excelente game! Divertido em todos os aspectos! Um prato cheio para fãs da franquia!,3/20/20
9,Tim0900,Exactly what I expected from an animal crossing game. Great atmosphere and gameplay. The controls are intuitive and the game just works.,3/20/20
10,Heikki,"An amazing game, that will make you forget there is something like a real world out there. Excelled in the good things New Leaf got right, and made an even better transition from handheld to console. 10/10",3/20/20
10,CryBabySeann,"The looks, the feel, and the improvements from the other games are amazing.",3/20/20
10,Doovde,"A fantastic little game that will eat up your spare time. Whether it be decorating your home, growing and tending your garden, socialising, adventuring, shopping, teraforming the landscape, crafting or interacting with the wildlife, Animal Crossing has something for everyone.The game works in real time so times of days, seasons, deliveries, and events change depending on what's happeningA fantastic little game that will eat up your spare time. Whether it be decorating your home, growing and tending your garden, socialising, adventuring, shopping, teraforming the landscape, crafting or interacting with the wildlife, Animal Crossing has something for everyone.The game works in real time so times of days, seasons, deliveries, and events change depending on what's happening in the real world. This creates a slower paced game and allows you as a player to take your time and let your little island grow organically with every decision you make. There are some complaining about island sharing with others on the same console but the fact is it makes the game better. Islands are sizable so there is plenty of space for everyone but most importantly this is a social game and multiple residents makes it easier to harvest and share resources which is ESSENTIAL to progression. All in all a wonderful game and highly recommended.… Expand",3/20/20
10,MrsPandora,"This is just my Happy place game along with breath of the wild and Fire emblem three houses, all relaxing and chill, nothing about it feels unfinished or not fun, everything feels like it belongs in animal crossing and easily took over my life in the last few hours, and I know it won’t wear off",3/20/20
10,hacazevedo,"BEST GAME OF MY LIFE!!!! THIS GAME IS THE BEST I'VE EVER SEEN, PERFECT GRAPHICS, PERFECT GAMEPLAY, EVERYTHING IS PERFECT, but if you see some negative reviews is why they didn't feel the classic game that was your friend play and advance some parts and that's a good and nostalgic thing. So my grade is 10/10",3/20/20
9,Themechanic6969,Juego divertido y adictivo dan ganas de seguir avanzando y diafrutando este juego,3/20/20
9,killunit,"Absolutely charming and relaxing game for all ages. The game is made primarily with single player in mind, but can be enjoyed with friends. The game is meant to be played in short bursts and is wonderful for sharing with the whole family. Daily and seasonal changes are sure to keep players coming back to see what's new. The changes to the franchise give more control than ever before to letAbsolutely charming and relaxing game for all ages. The game is made primarily with single player in mind, but can be enjoyed with friends. The game is meant to be played in short bursts and is wonderful for sharing with the whole family. Daily and seasonal changes are sure to keep players coming back to see what's new. The changes to the franchise give more control than ever before to let the denizens of an animal crossing village customize to their heart's content. Finally the DIY system has completely overhauled the game allowing for crafting a multitude of useful new items. This is a must buy for fans of the series and a strong recommend for anyone looking to enjoy casual bouts of exploration into the once again fresh world of animal crossing.… Expand",3/20/20
10,Lumostark,"The graphics, the gameplay loop, the music, the personalization options, the dialogues are all really charming. It's the scape from the world I've been looking for.",3/20/20
10,Mathioso,"What a great game just to relax and have fun, I already can't stop playing!",3/20/20
10,GamerDylan,Animal Crossing New Horizons is an absolute masterpiece and by far the best game in the series.,3/20/20
9,leetl1,Animal Crossing: New Horizons is a significant improvement over the tragically bad Amiibo Festival as it  goes back to the classic gameplay that we know from our childhoods.,3/20/20
10,FavorableGamer,"Animal Crossing: New Horizons was one of the best first-party games exclusively published by Nintendo. Packed with new and interesting content, it is something worthwhile for individuals looking forward playing the next series of Animal Crossing. Recently, they showcased so much information on Animal Crossing Direct, and there were exciting things we can do. For instance, the ability ofAnimal Crossing: New Horizons was one of the best first-party games exclusively published by Nintendo. Packed with new and interesting content, it is something worthwhile for individuals looking forward playing the next series of Animal Crossing. Recently, they showcased so much information on Animal Crossing Direct, and there were exciting things we can do. For instance, the ability of being able to terraform and waterscape the land, achievements, 8 players online, customizations, and so on. While playing it, one of the honorable mentions was the writing itself, which may be referred to as the character’s dialog. Because they were willing to add variety of words when they talk, it seems enjoyable and natural to go talk with different characters in the game. However, there are downsides. You might have only one island per console, which means you cannot have multiple islands in the game. Besides, the incapable of not supporting cloud-saves. It needs to be supported, so people won’t get their internal data lost. Although, the game fully meets expectations with a good gameplay in which it is intended for hardcore audiences. At last, this is beyond the next level of Animal Crossing game, and a must-buy title in 2020.… Expand",3/20/20
10,meritum,Best animal crossing game. Beautiful and fresh game. You want to spend more time in the world you create with likable characters and lots of things to do. Minecraft of Switch era. So much creativity. Loving it so far,3/20/20
10,revan4ik,"this game dragged me too much, I can’t live without it ... help me please.",3/20/20
10,Arfon,"Countless hours of fun awaits you in this fabulous game!!! It has lots of new stuff and new mechanics that will keep you playing all day and night, but the effort is rewarded. You never get bored when you do all of the features like fishing, crafting, completing challenges, etc.100% recommeded and truly a Must Play if you have a Switch.",3/20/20
10,HappyHermyHype,"By far the best Animal Crossing game yet. Sure, one island per system is oldscool (it was there in every animal crossing game), but it should encourages beeing social and sharing one island with your family.",3/20/20
10,CDizzness,"Best Animal Crossing game hands down, graphics are gorgeous and gameplay is addicting as always (the moment I was able to pick objects up, I spent an hour picking up weeds XD) So many trolls talking about a horrible co-op experience, more than likely mislead because they don't research a game before they buy it, they just buy into the hype. This game lives up to the hype for this long timeBest Animal Crossing game hands down, graphics are gorgeous and gameplay is addicting as always (the moment I was able to pick objects up, I spent an hour picking up weeds XD) So many trolls talking about a horrible co-op experience, more than likely mislead because they don't research a game before they buy it, they just buy into the hype. This game lives up to the hype for this long time Animal Crossing fan. The co-op experience reminds me of the good ol' DS days. I haven't gotten too far into it yet, but I am already addicted and see myself coming back to the island every day, even if it is for a short amount of time. Also, I am the only person on my console playing this game, and I don't time skip because I am a patient person along for the experience. Thank you Nintendo, sorry people are review bombing your game because they clearly didn't watch all of the videos you put forth in preparation for the game.Update 4/4/2020: This game has officially consumed my life. With the coronavirus bs going on and everything closing, this allows me to hang out with friends and family. It scratches the itch for social interaction, and I literally cannot stop playing this. Soooo much customization, you can literally recreate your entire island. This game deserves a much better user score than what it has,  I would say at the lowest an 8.5.… Expand",3/20/20
8,imoviesreview,An overall enjoyable and relaxing game. It's basically an expansion of New Leaf mayor system which I enjoyed very much. So it cool to see a whole game around that.,3/20/20
10,Icraftfitestar,Its a great game especially to play during the pandemic. Im really enjoying it. Stay positive and be safe out their.,3/20/20
10,Kelanisnot,"People obviously dont understand the crossing if they think couch coop is a thing and you dont need multiple switches!! Amazing experience, best in class, best crossing game yet!!! Live love love!!",3/20/20
